antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
COOKIES/CONES,BAKED BREAD/BUNS/ROLLS,0.07643654958955726,0.2228502220427937,0.03794913201453371,0.4964788732394367,2.22785900183711,1.0,0.020915229966315865,1.5434303282506758,0.5967522422115507,0.14521112255406798,0.352092555331992,0.33338436415595024,COOKIES/CONES,BAKED BREAD/BUNS/ROLLS
CRACKERS/MISC BKD FD,BAKED BREAD/BUNS/ROLLS,0.078993406001884,0.2228502220427937,0.03902570313551339,0.4940374787052811,2.216903686146705,1.0,0.021422005068076986,1.5359828944810776,0.5960005239928253,0.148489503328213,0.3489510829885617,0.3345791258260705,CRACKERS/MISC BKD FD,BAKED BREAD/BUNS/ROLLS
DELI MEATS,BAKED BREAD/BUNS/ROLLS,0.06567083837976047,0.2228502220427937,0.04037141703673799,0.6147540983606556,2.7585976478973624,1.0,0.025736656122071946,2.017282402357003,0.6823044793317009,0.16268980477223427,0.5042835852671917,0.39795675932525537,DELI MEATS,BAKED BREAD/BUNS/ROLLS
DINNER MXS:DRY,BAKED BREAD/BUNS/ROLLS,0.04656170098237115,0.2228502220427937,0.031220562508410713,0.6705202312138728,3.008838066515875,1.0,0.020844277105799138,2.358717747133275,0.7002506509624511,0.1310734463276836,0.5760408377749419,0.4053084247856804,DINNER MXS:DRY,BAKED BREAD/BUNS/ROLLS
DINNER SAUSAGE,BAKED BREAD/BUNS/ROLLS,0.04535055847126901,0.2228502220427937,0.027856277755349212,0.6142433234421365,2.7563056379821957,1.0,0.017749895730262213,2.014611347473681,0.6674654637722017,0.11590145576707726,0.5036263439824271,0.36962166172106825,DINNER SAUSAGE,BAKED BREAD/BUNS/ROLLS
DRY BN/VEG/POTATO/RICE,BAKED BREAD/BUNS/ROLLS,0.04615798681200377,0.2228502220427937,0.027048849414614454,0.5860058309037901,2.6295950057041453,1.0,0.016762531804511073,1.8771998157698717,0.6497022505980258,0.11179087875417129,0.4672916587785393,0.3536913212489965,DRY BN/VEG/POTATO/RICE,BAKED BREAD/BUNS/ROLLS
DRY NOODLES/PASTA,BAKED BREAD/BUNS/ROLLS,0.04763827210335083,0.2228502220427937,0.028125420535594133,0.5903954802259886,2.649292761811185,1.0,0.017509221019627375,1.8973173889438,0.653681005859672,0.11604664075513604,0.47294005429598646,0.35830160484729384,DRY NOODLES/PASTA,BAKED BREAD/BUNS/ROLLS
EGGS,BAKED BREAD/BUNS/ROLLS,0.09325797335486476,0.2228502220427937,0.04844570044408559,0.5194805194805195,2.3310747223790704,1.0,0.02766314037469304,1.6173117000731052,0.6297417631344613,0.1809954751131222,0.381689998313375,0.3684359119141728,EGGS,BAKED BREAD/BUNS/ROLLS
FD WRAPS/BAGS/TRSH BG,BAKED BREAD/BUNS/ROLLS,0.04333198761943211,0.2228502220427937,0.021531422419593594,0.49689440993788814,2.2297236474930235,1.0,0.01187487935704756,1.5447051142112371,0.5764945843297228,0.088008800880088,0.3526272485278696,0.2967563837129054,FD WRAPS/BAGS/TRSH BG,BAKED BREAD/BUNS/ROLLS
FLUID MILK PRODUCTS,BAKED BREAD/BUNS/ROLLS,0.24047907414883596,0.2228502220427937,0.1032162562239268,0.4292109681029659,1.9260064637518959,1.0,0.049625441153213254,1.361535934519145,0.6330186918392182,0.28662182361733934,0.26553535999534883,0.4461876096553477,FLUID MILK PRODUCTS,BAKED BREAD/BUNS/ROLLS
BAKED BREAD/BUNS/ROLLS,FLUID MILK PRODUCTS,0.2228502220427937,0.24047907414883596,0.1032162562239268,0.4631642512077295,1.9260064637518959,1.0,0.049625441153213254,1.4148106335315274,0.6186593067949001,0.28662182361733934,0.29319162840620805,0.4461876096553477,BAKED BREAD/BUNS/ROLLS,FLUID MILK PRODUCTS
FROZEN PIZZA,BAKED BREAD/BUNS/ROLLS,0.08074283407347597,0.2228502220427937,0.03794913201453371,0.47000000000000003,2.109039855072464,1.0,0.01995557351289514,1.4663203357683137,0.5720386099664545,0.14285714285714285,0.31802077922077926,0.3201449275362319,FROZEN PIZZA,BAKED BREAD/BUNS/ROLLS
